log_id,created_at,user_id,vip_level,char_name,rarity,origin,destination,status,gross_revenue,dispatch_cost,net_profit,time_hours,profit_per_hour,is_red_card
L00156,2026-04-16 01:00:00,U0100,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00157,2026-04-06 17:00:00,U0067,3,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00158,2026-04-09 07:00:00,U0035,4,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00159,2026-04-08 13:00:00,U0043,4,Aria,Red,Fishing Village,Capital,Failed,0,500,-500,2,0.0,True
L00160,2026-04-09 07:00:00,U0014,4,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00161,2026-04-08 14:00:00,U0088,5,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00162,2026-04-30 16:00:00,U0084,5,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00163,2026-04-06 10:00:00,U0044,2,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00164,2026-04-06 14:00:00,U0020,1,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00165,2026-04-27 20:00:00,U0078,4,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00166,2026-04-28 16:00:00,U0001,0,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00167,2026-04-22 18:00:00,U0051,0,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00168,2026-04-24 10:00:00,U0029,3,Trader,Purple,Capital,Mines,Failed,0,200,-200,4,0.0,False
L00169,2026-04-24 19:00:00,U0057,3,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00170,2026-04-26 06:00:00,U0078,4,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00171,2026-04-13 09:00:00,U0013,0,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00172,2026-04-18 04:00:00,U0068,4,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00173,2026-04-11 06:00:00,U0081,0,Aria,Red,Fishing Village,Capital,Failed,0,500,-500,2,0.0,True
L00174,2026-04-21 15:00:00,U0072,3,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00175,2026-04-30 07:00:00,U0033,5,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00176,2026-04-14 16:00:00,U0046,2,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00177,2026-04-05 05:00:00,U0038,3,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00178,2026-04-14 01:00:00,U0043,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00179,2026-04-12 20:00:00,U0005,2,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00180,2026-04-04 20:00:00,U0033,5,Trader,Purple,Capital,Black Market,Failed,0,200,-200,8,0.0,False
L00181,2026-04-23 15:00:00,U0024,1,Aria,Red,Fishing Village,Capital,Failed,0,500,-500,2,0.0,True
L00182,2026-04-07 02:00:00,U0009,4,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00183,2026-04-15 19:00:00,U0088,5,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00184,2026-04-17 18:00:00,U0014,4,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00185,2026-04-12 03:00:00,U0066,2,Nyx,Gold,Fishing Village,Capital,Failed,0,300,-300,2,0.0,False
L00186,2026-04-24 22:00:00,U0042,4,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00187,2026-04-30 10:00:00,U0010,3,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00188,2026-04-26 07:00:00,U0007,5,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00189,2026-04-22 11:00:00,U0058,4,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00190,2026-04-21 02:00:00,U0027,5,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00191,2026-04-13 17:00:00,U0034,4,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00192,2026-04-23 11:00:00,U0076,4,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00193,2026-04-09 20:00:00,U0019,5,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00194,2026-04-30 04:00:00,U0018,1,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00195,2026-04-16 18:00:00,U0100,4,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00196,2026-04-26 23:00:00,U0054,5,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00197,2026-04-20 11:00:00,U0040,2,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00198,2026-04-24 19:00:00,U0069,5,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00199,2026-04-07 19:00:00,U0031,2,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00200,2026-04-04 18:00:00,U0001,0,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00201,2026-04-06 01:00:00,U0054,5,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00202,2026-04-02 19:00:00,U0031,2,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00203,2026-04-21 22:00:00,U0065,5,Trader,Purple,Capital,Black Market,Failed,0,200,-200,8,0.0,False
L00204,2026-04-25 04:00:00,U0051,0,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00205,2026-04-10 19:00:00,U0094,3,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00206,2026-04-17 02:00:00,U0042,4,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00207,2026-04-25 13:00:00,U0020,1,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00208,2026-04-04 18:00:00,U0020,1,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00209,2026-04-01 15:00:00,U0071,3,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00210,2026-04-30 11:00:00,U0034,4,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00211,2026-04-20 13:00:00,U0064,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00212,2026-04-01 14:00:00,U0086,1,Nyx,Gold,Capital,Mines,Failed,0,300,-300,4,0.0,False
L00213,2026-04-11 22:00:00,U0030,3,Nyx,Gold,Capital,Black Market,Failed,0,300,-300,8,0.0,False
L00214,2026-04-15 07:00:00,U0029,3,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00215,2026-04-30 09:00:00,U0085,2,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00216,2026-04-29 19:00:00,U0020,1,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00217,2026-04-06 19:00:00,U0064,3,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00218,2026-04-19 20:00:00,U0022,2,Blacksmith,Blue,Capital,Black Market,Failed,0,100,-100,8,0.0,False
L00219,2026-04-26 23:00:00,U0032,0,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00220,2026-04-11 09:00:00,U0081,0,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00221,2026-04-25 08:00:00,U0021,5,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00222,2026-04-27 06:00:00,U0005,2,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00223,2026-04-15 17:00:00,U0007,5,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00224,2026-04-11 23:00:00,U0017,4,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00225,2026-04-28 16:00:00,U0033,5,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00226,2026-04-17 17:00:00,U0010,3,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00227,2026-04-12 15:00:00,U0087,0,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00228,2026-04-26 18:00:00,U0027,5,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00229,2026-04-09 18:00:00,U0073,5,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00230,2026-04-11 05:00:00,U0004,4,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
